# LSTM+CNN FFT Tahmin Sonuçları
# Model: Genişletilmiş (seq96)
# Sequence Length: 96


## apo_yukarı.csv
Satır sayısı: 215744
Tahmin sayısı: 1685
Dağılım: {'yukarı': 1685}
Ortalama güven: 99.4%

Detaylı tahminler:
  57952: yukarı     (95.2%)
  58080: yukarı     (95.2%)
  58208: yukarı     (95.2%)
  58336: yukarı     (95.2%)
  58464: yukarı     (99.2%)
  58592: yukarı     (99.2%)
  58720: yukarı     (99.2%)
  58848: yukarı     (99.2%)
  58976: yukarı     (100.0%)
  59104: yukarı     (100.0%)
  59232: yukarı     (100.0%)
  59360: yukarı     (100.0%)
  59488: yukarı     (100.0%)
  59616: yukarı     (100.0%)
  59744: yukarı     (100.0%)
  59872: yukarı     (100.0%)
  60000: yukarı     (99.1%)
  60128: yukarı     (99.1%)
  60256: yukarı     (99.1%)
  60384: yukarı     (99.1%)
  60512: yukarı     (100.0%)
  60640: yukarı     (100.0%)
  60768: yukarı     (100.0%)
  60896: yukarı     (100.0%)
  61024: yukarı     (99.7%)
  61152: yukarı     (99.7%)
  61280: yukarı     (99.7%)
  61408: yukarı     (99.7%)
  61536: yukarı     (99.0%)
  61664: yukarı     (99.0%)
  61792: yukarı     (99.0%)
  61920: yukarı     (99.0%)
  62048: yukarı     (100.0%)
  62176: yukarı     (100.0%)
  62304: yukarı     (100.0%)
  62432: yukarı     (100.0%)
  62560: yukarı     (99.8%)
  62688: yukarı     (99.8%)
  62816: yukarı     (99.8%)
  62944: yukarı     (99.8%)
  63072: yukarı     (99.9%)
  63200: yukarı     (99.9%)
  63328: yukarı     (99.9%)
  63456: yukarı     (99.9%)
  63584: yukarı     (100.0%)
  63712: yukarı     (100.0%)
  63840: yukarı     (100.0%)
  63968: yukarı     (100.0%)
  64096: yukarı     (99.7%)
  64224: yukarı     (99.7%)
  64352: yukarı     (99.7%)
  64480: yukarı     (99.7%)
  64608: yukarı     (99.4%)
  64736: yukarı     (99.4%)
  64864: yukarı     (99.4%)
  64992: yukarı     (99.4%)
  65120: yukarı     (100.0%)
  65248: yukarı     (100.0%)
  65376: yukarı     (100.0%)
  65504: yukarı     (100.0%)
  65632: yukarı     (98.6%)
  65760: yukarı     (98.6%)
  65888: yukarı     (98.6%)
  66016: yukarı     (98.6%)
  66144: yukarı     (99.6%)
  66272: yukarı     (99.6%)
  66400: yukarı     (99.6%)
  66528: yukarı     (99.6%)
  66656: yukarı     (100.0%)
  66784: yukarı     (100.0%)
  66912: yukarı     (100.0%)
  67040: yukarı     (100.0%)
  67168: yukarı     (99.2%)
  67296: yukarı     (99.2%)
  67424: yukarı     (99.2%)
  67552: yukarı     (99.2%)
  67680: yukarı     (99.3%)
  67808: yukarı     (99.3%)
  67936: yukarı     (99.3%)
  68064: yukarı     (99.3%)
  68192: yukarı     (98.6%)
  68320: yukarı     (98.6%)
  68448: yukarı     (98.6%)
  68576: yukarı     (98.6%)
  68704: yukarı     (99.9%)
  68832: yukarı     (99.9%)
  68960: yukarı     (99.9%)
  69088: yukarı     (99.9%)
  69216: yukarı     (99.5%)
  69344: yukarı     (99.5%)
  69472: yukarı     (99.5%)
  69600: yukarı     (99.5%)
  69728: yukarı     (87.5%)
  69856: yukarı     (87.5%)
  69984: yukarı     (87.5%)
  70112: yukarı     (87.5%)
  70240: yukarı     (100.0%)
  70368: yukarı     (100.0%)
  70496: yukarı     (100.0%)
  70624: yukarı     (100.0%)
  70752: yukarı     (99.3%)
  70880: yukarı     (99.3%)
  71008: yukarı     (99.3%)
  71136: yukarı     (99.3%)
  71264: yukarı     (100.0%)
  71392: yukarı     (100.0%)
  71520: yukarı     (100.0%)
  71648: yukarı     (100.0%)
  71776: yukarı     (99.3%)
  71904: yukarı     (99.3%)
  72032: yukarı     (99.3%)
  72160: yukarı     (99.3%)
  72288: yukarı     (100.0%)
  72416: yukarı     (100.0%)
  72544: yukarı     (100.0%)
  72672: yukarı     (100.0%)
  72800: yukarı     (99.0%)
  72928: yukarı     (99.0%)
  73056: yukarı     (99.0%)
  73184: yukarı     (99.0%)
  73312: yukarı     (100.0%)
  73440: yukarı     (100.0%)
  73568: yukarı     (100.0%)
  73696: yukarı     (100.0%)
  73824: yukarı     (99.9%)
  73952: yukarı     (99.9%)
  74080: yukarı     (99.9%)
  74208: yukarı     (99.9%)
  74336: yukarı     (100.0%)
  74464: yukarı     (100.0%)
  74592: yukarı     (100.0%)
  74720: yukarı     (100.0%)
  74848: yukarı     (99.8%)
  74976: yukarı     (99.8%)
  75104: yukarı     (99.8%)
  75232: yukarı     (99.8%)
  75360: yukarı     (100.0%)
  75488: yukarı     (100.0%)
  75616: yukarı     (100.0%)
  75744: yukarı     (100.0%)
  75872: yukarı     (100.0%)
  76000: yukarı     (100.0%)
  76128: yukarı     (100.0%)
  76256: yukarı     (100.0%)
  76384: yukarı     (99.9%)
  76512: yukarı     (99.9%)
  76640: yukarı     (99.9%)
  76768: yukarı     (99.9%)
  76896: yukarı     (98.5%)
  77024: yukarı     (98.5%)
  77152: yukarı     (98.5%)
  77280: yukarı     (98.5%)
  77408: yukarı     (99.4%)
  77536: yukarı     (99.4%)
  77664: yukarı     (99.4%)
  77792: yukarı     (99.4%)
  77920: yukarı     (99.8%)
  78048: yukarı     (99.8%)
  78176: yukarı     (99.8%)
  78304: yukarı     (99.8%)
  78432: yukarı     (100.0%)
  78560: yukarı     (100.0%)
  78688: yukarı     (100.0%)
  78816: yukarı     (100.0%)
  78944: yukarı     (100.0%)
  79072: yukarı     (100.0%)
  79200: yukarı     (100.0%)
  79328: yukarı     (100.0%)
  79456: yukarı     (99.9%)
  79584: yukarı     (99.9%)
  79712: yukarı     (99.9%)
  79840: yukarı     (99.9%)
  79968: yukarı     (96.8%)
  80096: yukarı     (96.8%)
  80224: yukarı     (96.8%)
  80352: yukarı     (96.8%)
  80480: yukarı     (100.0%)
  80608: yukarı     (100.0%)
  80736: yukarı     (100.0%)
  80864: yukarı     (100.0%)
  80992: yukarı     (99.9%)
  81120: yukarı     (99.9%)
  81248: yukarı     (99.9%)
  81376: yukarı     (99.9%)
  81504: yukarı     (99.7%)
  81632: yukarı     (99.7%)
  81760: yukarı     (99.7%)
  81888: yukarı     (99.7%)
  82016: yukarı     (100.0%)
  82144: yukarı     (100.0%)
  82272: yukarı     (100.0%)
  82400: yukarı     (100.0%)
  82528: yukarı     (98.6%)
  82656: yukarı     (98.6%)
  82784: yukarı     (98.6%)
  82912: yukarı     (98.6%)
  83040: yukarı     (99.6%)
  83168: yukarı     (99.6%)
  83296: yukarı     (99.6%)
  83424: yukarı     (99.6%)
  83552: yukarı     (99.7%)
  83680: yukarı     (99.7%)
  83808: yukarı     (99.7%)
  83936: yukarı     (99.7%)
  84064: yukarı     (99.3%)
  84192: yukarı     (99.3%)
  84320: yukarı     (99.3%)
  84448: yukarı     (99.3%)
  84576: yukarı     (99.9%)
  84704: yukarı     (99.9%)
  84832: yukarı     (99.9%)
  84960: yukarı     (99.9%)
  85088: yukarı     (91.1%)
  85216: yukarı     (91.1%)
  85344: yukarı     (91.1%)
  85472: yukarı     (91.1%)
  85600: yukarı     (99.8%)
  85728: yukarı     (99.8%)
  85856: yukarı     (99.8%)
  85984: yukarı     (99.8%)
  86112: yukarı     (99.9%)
  86240: yukarı     (99.9%)
  86368: yukarı     (99.9%)
  86496: yukarı     (99.9%)
  86624: yukarı     (99.6%)
  86752: yukarı     (99.6%)
  86880: yukarı     (99.6%)
  87008: yukarı     (99.6%)
  87136: yukarı     (99.6%)
  87264: yukarı     (99.6%)
